UID,versionId,beginLifeSpanVersion,CountryCode,observedPropertyDeterminandBiologyEQRCode,parameterWaterBodyCategory,parameterNCSWaterBodyType,parameterWFDIntercalibrationWaterBodyType,parameterNaturalAWBHMWB,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,procedureBiologicalAnalyticalMethodDescription,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
34,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12041,,HMWB,0,,0.57,0.4,0.23,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
35,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12071,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
36,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12093,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
37,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12111,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
38,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12144,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
39,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12161,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
40,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12174,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
41,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12181,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
42,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12232,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
43,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12235,,AWB,0,,0.67,0.47,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for theartificial WB (EP),A,
44,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12283,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
45,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12311,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
46,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_12409,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
47,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rg_55,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
48,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rg_58,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
49,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rg_71,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
50,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rg_9,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
51,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rg_93,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
52,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rk_172,,AWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
53,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rk_173,,AWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
54,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rk_7,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
55,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,Rzg_144,,HMWB,0,,0.6,0.4,0.2,Identification and counting of 500 valves,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
56,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03550,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
57,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03570,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
58,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03621,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
59,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03651,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
60,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03700,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
61,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03768,,Natural,0,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,No reference value,A,
62,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03771,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
63,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03780,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
64,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03801,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
65,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03803,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
66,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03820,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
67,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_03833,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
68,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12014,,Natural,0,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
69,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12024,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
70,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12031,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
71,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12041,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
72,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12071,,HMWB,1,,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as PEM value and 12 as the G-M boundary",A,
73,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12093,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
74,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12101,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
75,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12111,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
76,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12144,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
77,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12161,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
78,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12174,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
79,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_12181,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
80,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40137,,Natural,0,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
81,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40149,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
82,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40155,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
83,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40158,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
84,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40167,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
85,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40169,,Natural,0,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
86,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40176,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
87,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40180,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
88,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40181,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
89,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40183,,Natural,0,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
90,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40188,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
91,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_40192,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
92,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BgK_136,,HMWB,0,,0.65,0.45,0.3,ISO 7828: 1985,,"The type mentioned under ""WaterbodyTypeOther"" is not the actual type code but a combination of type and waterbody number because class boundaries for HMWB and AWB are waterbody-specific",A,
